12500000,80,
1001001,999,
2531645,395,
10101010,99,
3663003,273,
3676470,272,
2785515,359,
5464480,183,
6410256,156,
838926,1192,
4716981,212,
1972386,507,
4310344,232,
1766784,566,
1798561,556,
6250000,160,
4830917,207,
4201680,238,
4016064,249,
6024096,166,
6410256,156,
5649717,177,
5376344,186,
12345679,81,
11363636,88,
917431,1090,
5988023,167,
2427184,412,
5494505,182,
2188183,457,
4975124,201,
19607843,51,
8547008,117,
6849315,146,
5917159,169,
17241379,58,
21276595,47,
14492753,69,
13888888,72,
4484304,223,
4255319,235,
4587155,218,
4926108,203,
554016,361,
12345679,81,
979431,1021,
3225806,310,
2967359,337,
428632,2333,
1162790,860,
